7654 XX__;7482 ____;1313 X___;1656 XX__;5653 XXXX;;;;;
7654 XOOO;5644 XXX_;5647 XXXX;;;;;;;
7171 ____;4422 ____;5633 OOO_;3586 XX__;3366 XXXX;;;;;
7171 X___;6158 X___;7483 XOOO;7348 XOOO;3478 XXXX;;;;;
7171 XX__;4311 XX__;3675 ____;1672 X___;1111 XXXX;;;;;
7171 XXX_;7811 XX__;4435 ____;2661 XX__;7671 XXXX;;;;;
7171 XXOO;7317 XOO_;1177 XXXX;;;;;;;
2377 ____;1544 XXX_;1651 XX__;1644 XX__;1554 XXXX;;;;;
2377 X___;7358 ____;6611 XX__;1114 XX__;2614 XXXX;;;;;
2377 XOO_;3272 XXOO;3227 XXXX;;;;;;;
1177 ____;6868 XO__;6562 XOOO;6256 OOOO;2665 XXXX;;;;;
1177 X___;3576 ____;1221 XX__;1424 XX__;1828 XXXX;;;;;
1177 XX__;7637 XX__;1354 ____;2881 X___;7877 XXXX;;;;;
1177 XXX_;7157 XOOO;1577 XXXX;;;;;;;
7171 ____;3355 X___;4456 ____;2322 XX__;7828 XOO_;2388 XXXX;;;;
1177 ____;8484 XX__;8346 XOO_;8465 XOO_;8624 OOOO;2486 XXXX;;;;
8348 ____;6526 X___;7212 XXX_;7222 XXXX;;;;;;
8348 X___;1847 XOO_;2718 OOOO;8127 XXXX;;;;;;
8348 XX__;2458 XOO_;4578 XXOO;7548 XXXX;;;;;;
8348 XOO_;3438 XOOO;3384 XOOO;3843 XXXX;;;;;;
7654 ____;8232 X___;1818 X___;1333 XXXX;;;;;;
7654 X___;8822 XXO_;8224 XXOO;2824 XXXX;;;;;;
7654 XX__;6253 XOO_;2156 XXOO;2651 XXXX;;;;;;
7654 XOO_;5665 X___;7457 OOOO;5774 XXXX;;;;;;
7654 XOOO;4676 XOO_;5647 XOOO;7546 XXXX;;;;;;
7171 ____;4334 OOO_;2433 XOOO;3243 XXXX;;;;;;
7171 X___;8374 XXOO;3473 XXO_;3874 XXXX;;;;;;
7171 XX__;7734 XOO_;7367 XXOO;7376 XXXX;;;;;;
7171 XO__;7467 OOOO;4776 XXOO;6774 XXXX;;;;;;
2377 ____;6564 X___;8611 XXX_;8511 XXXX;;;;;;
