3344 XXO_;4346 XOO_;3441 XX__;3643 XXXX;;;;;;
2535 XXO_;2552 XOO_;1525 XX__;2325 XXXX;;;;;;
3224 XXO_;2524 XXO_;2214 OO__;3522 XXXX;;;;;;
6645 XXO_;6446 XOO_;6624 XX__;5644 XXXX;;;;;;
2535 OOO_;5213 OOO_;3452 XXOO;4352 XXXX;;;;;;
6346 OOO_;1463 XXX_;4463 XX__;1663 XXXX;;;;;;
6645 OOO_;1564 XXX_;3564 XX__;1566 XXXX;;;;;;
6543 XXO_;3541 XX__;3643 XXO_;3563 XXXX;;;;;;
3224 ____;1165 XXOO;5161 XXOO;1561 XXXX;;;;;;
3224 XOO_;3412 OOOO;4123 XXOO;4321 XXXX;;;;;;
3224 OO__;4543 OOO_;1435 XXO_;5436 XXXX;;;;;;
6346 OO__;4435 OOO_;3524 XXO_;3154 XXXX;;;;;;
2311 XO__;1551 OOO_;5116 XXOO;6115 XXXX;;;;;;
2323 ____;1615 XXOO;1165 OOOO;5611 XXXX;;;;;;
3344 ____;6115 XXOO;1615 OOOO;6151 XXXX;;;;;;
4554 ____;6612 XXOO;6162 OOOO;2616 XXXX;;;;;;
6543 OO__;4612 XOOO;4126 OOOO;1462 XXXX;;;;;;
2323 OOO_;3242 XX__;3632 XXOO;3236 XXXX;;;;;;
3344 OOO_;4423 XX__;4133 XXOO;1433 XXXX;;;;;;
4554 OOO_;6445 XX__;5145 XXOO;5415 XXXX;;;;;;
2323 XXX_;2324 XXO_;2343 XXOO;4323 XXXX;;;;;;
2323 XXO_;2362 XO__;2533 OOOO;3325 XXXX;;;;;;
4554 XXO_;4546 XO__;5514 OOOO;4155 XXXX;;;;;;
2323 XOO_;1233 XOO_;6332 XX__;2132 XXXX;;;;;;
3344 XOO_;3431 XOO_;4335 OO__;1443 XXXX;;;;;;
2311 XXO_;1351 XOO_;5211 XXO_;5312 XXXX;;;;;;
2311 OOO_;1143 XXO_;4123 XXOO;1423 XXXX;;;;;;
2535 OOO_;3352 XOO_;5324 OOOO;4253 XXXX;;;;;;
3224 OOO_;4632 XXO_;4352 XO__;2642 XXXX;;;;;;
6346 OOO_;5663 XXO_;5634 OOOO;4563 XXXX;;;;;;
6645 OOO_;1564 XXO_;5464 XX__;1466 XXXX;;;;;;
6543 XXO_;6423 OO__;3544 XXO_;4546 XXXX;;;;;;
2311 ____;6446 OO__;5654 OOOO;4565 XXXX;;;;;;
2535 ____;1164 OO__;6616 O___;4441 XXXX;;;;;;
3224 ____;1515 OO__;6651 OOOO;5166 XXXX;;;;;;
6346 ____;1522 OO__;5155 X___;2111 XXXX;;;;;;
6645 ____;3231 OO__;2112 XXOO;1122 XXXX;;;;;;
2535 XOO_;5524 OOO_;6255 XO__;2453 XXXX;;;;;;
6346 XOO_;6264 XXO_;6461 XOOO;6614 XXXX;;;;;;
6645 XOO_;6156 OOO_;5614 XXO_;1664 XXXX;;;;;;
3344 OO__;4113 XXX_;4123 XXOO;4213 XXXX;;;;;;
