2316 XOOO;2631 XOOO;5123 OOO_;3612 OOOO;1236 XXXX;;;;;
2316 OOOO;6253 XXO_;4623 XOO_;1263 XXXX;;;;;;
1234 XX__;5631 XXO_;5236 XXXX;;;;;;;
1234 XXO_;3524 XX__;1624 XXXX;;;;;;;
1234 XOOO;1423 XOOO;1632 OOO_;3124 OOOO;4213 XXXX;;;;;
1234 OO__;5163 XXOO;3165 OOOO;5613 XXXX;;;;;;
1234 OOO_;3426 XOOO;4623 XOOO;3642 OOOO;2463 XXXX;;;;;
1234 OOOO;6423 XXO_;2415 XOO_;3421 XXXX;;;;;;
6543 OO__;2631 XXOO;2361 XOOO;2136 OOOO;3621 XXXX;;;;;
4215 OO__;6134 XXOO;6431 XOOO;1634 OOOO;6143 XXXX;;;;;
3625 OO__;2146 XXOO;6142 XOOO;1246 OOOO;2164 XXXX;;;;;
2541 OO__;6234 XXOO;6432 XOOO;6324 OOOO;4236 XXXX;;;;;
2316 OO__;1654 XXOO;1564 XOOO;6154 OOOO;1645 XXXX;;;;;
4215 OOO_;2543 XXOO;2453 XOOO;2534 XXXX;;;;;;
2541 OOO_;4652 XXOO;4625 XOOO;4256 XXXX;;;;;;
2316 OOO_;3521 XXOO;1523 XOOO;3125 XXXX;;;;;;
1234 OOO_;6312 XXOO;6321 XOOO;2316 XXXX;;;;;;
6543 OOOO;2435 OOO_;3514 XXO_;3654 XXXX;;;;;;
4215 OOOO;2143 XOO_;5426 XOO_;2451 XXXX;;;;;;
3625 XOO_;3215 XOO_;3561 XOOO;1365 OOOO;3156 XXXX;;;;;
3625 OOOO;2153 XOO_;5216 XOO_;2536 XXXX;;;;;;
2541 XOO_;5341 XOO_;3421 XOOO;4231 OOOO;3142 XXXX;;;;;
2541 OOOO;5423 XXO_;5312 OOO_;1425 XXXX;;;;;;
2316 XOO_;4326 XOO_;6341 XOOO;1364 OOOO;3146 XXXX;;;;;
1234 XOO_;3264 XOO_;2614 XOOO;4216 OOOO;6124 XXXX;;;;;
1234 OOOO;4152 XOO_;2351 XOO_;2143 XXXX;;;;;;
6543 XOO_;6423 XO__;6135 OOOO;1653 XXOO;5613 XXXX;;;;;
3625 XOO_;6425 XO__;5321 OOOO;2135 XXOO;1235 XXXX;;;;;
6543 XOO_;1643 OOO_;6415 OOOO;4561 XXXX;;;;;;
6543 OOOO;5461 XOO_;3462 OOO_;5634 XXXX;;;;;;
4215 XXX_;2513 XOO_;6215 XX__;4315 XXXX;;;;;;
4215 XOO_;3415 OOO_;4132 OOOO;1243 XXXX;;;;;;
4215 OOOO;1426 XOO_;2164 OOO_;1542 XXXX;;;;;;
3625 XXX_;2613 XOO_;3624 XX__;1625 XXXX;;;;;;
3625 XOO_;2645 OOO_;6423 OOOO;3264 XXXX;;;;;;
2541 XOO_;3241 OOO_;2153 XOOO;2315 OOOO;1523 XXXX;;;;;
2541 OOO_;1465 XOO_;6215 OOOO;5162 XOOO;1652 XXXX;;;;;
2541 OOOO;4256 XOO_;5462 OOO_;4125 XXXX;;;;;;
2316 XXOO;2463 OOO_;3146 XXO_;3216 XXXX;;;;;;
2316 OOOO;1234 OOO_;6325 XOO_;3621 XXXX;;;;;;
1234 XXX_;5213 XOO_;1236 XX__;1254 XXXX;;;;;;
1234 XOO_;1364 OOO_;2436 OOOO;6243 XXXX;;;;;;
1234 OOO_;6123 XOO_;3426 OOOO;2643 XOOO;6342 XXXX;;;;;
1234 OOOO;4513 XOO_;2453 OOO_;4321 XXXX;;;;;;
6543 XOO_;1546 OO__;4623 OOOO;6234 XXOO;6432 XXXX;;;;;
6543 OO__;1265 XOO_;4162 OOOO;1624 XXOO;1426 XXXX;;;;;
4215 XOO_;4135 OO__;1264 OOOO;2416 XXOO;6412 XXXX;;;;;
4215 OO__;2356 XOO_;2463 OOOO;6324 XXOO;6342 XXXX;;;;;
2541 OOO_;4162 XO__;4325 OOOO;5432 XXOO;3452 XXXX;;;;;
2316 XXX_;3526 XOOO;2356 XXXX;;;;;;;
2316 XOO_;2365 OO__;6214 OOOO;4126 XXOO;1426 XXXX;;;;;
2316 OOO_;6431 XO__;5132 OOOO;3251 XXOO;3521 XXXX;;;;;
1234 OO__;2546 XOO_;6521 OOOO;2165 XXOO;2615 XXXX;;;;;
1234 OOO_;5142 XO__;2163 OOOO;3612 XXOO;6312 XXXX;;;;;
6543 OOO_;4631 XX__;2653 XOOO;5632 XXXX;;;;;;
4215 OOO_;2546 XX__;4351 XOOO;3541 XXXX;;;;;;
2316 OOO_;5263 XX__;3164 XOOO;1463 XXXX;;;;;;
6543 OOO_;5362 OOO_;4632 XOOO;2436 OOOO;3624 XXXX;;;;;
2541 OOO_;3425 OOO_;5231 XOOO;5312 OOOO;1253 XXXX;;;;;
6543 XX__;6251 XOO_;6123 XXO_;6142 XXXX;;;;;;
6543 XXX_;2563 XXX_;2543 XXXX;;;;;;;
6543 XXO_;5342 XOO_;2546 XX__;3541 XXXX;;;;;;
6543 XOO_;2643 XX__;1653 XXO_;1645 XXXX;;;;;;
6543 OOO_;5432 XOO_;2465 XXOO;2456 XXXX;;;;;;
6543 OOOO;5326 OOO_;1654 OOO_;3465 XXXX;;;;;;
4215 XX__;3165 XOO_;6235 XXO_;4635 XXXX;;;;;;
4215 XXX_;3415 XXX_;3215 XXXX;;;;;;;
4215 XXO_;4153 XOO_;4312 XX__;4516 XXXX;;;;;;
4215 XXOO;1465 OOO_;4162 XOO_;4251 XXXX;;;;;;
4215 XOO_;4516 XX__;4523 XXO_;2513 XXXX;;;;;;
4215 XOOO;1254 XOOO;4516 XXO_;2514 XXXX;;;;;;
4215 OOO_;1526 OOO_;1462 OOOO;2641 XXXX;;;;;;
3625 XXO_;2315 XOO_;3165 XX__;3245 XXXX;;;;;;
3625 XO__;3421 XOOO;4123 XOOO;3142 OOOO;1324 XXXX;;;;;
3625 XOO_;3524 XX__;3516 XXO_;1526 XXXX;;;;;;
3625 OOO_;2354 XXX_;2364 XX__;2351 XXXX;;;;;;
3625 OOOO;1562 OOO_;6245 OOO_;2356 XXXX;;;;;;
2541 XXO_;4231 XOO_;2351 XX__;2461 XXXX;;;;;;
2541 XO__;2643 XOOO;2436 XOOO;2364 OOOO;3246 XXXX;;;;;
2541 XOO_;2651 XX__;2453 XXO_;3451 XXXX;;;;;;
2541 XOOO;5142 XOOO;6215 XXO_;1245 XXXX;;;;;;
2541 OOO_;4213 OOO_;3145 OOOO;1354 XXXX;;;;;;
2316 XXX_;3416 XXX_;2416 XXXX;;;;;;;
2316 XO__;4315 XOOO;3514 XOOO;1354 OOOO;5413 XXXX;;;;;
2316 XOO_;5312 XXO_;6352 XX__;1342 XXXX;;;;;;
2316 XOOO;1236 XOOO;3246 XXO_;3126 XXXX;;;;;;
2316 OOO_;1432 XXX_;6432 XX__;1532 XXXX;;;;;;
1234 XX__;6531 XOO_;5236 XXO_;5634 XXXX;;;;;;
1234 XO__;6254 XOOO;2564 XOOO;4265 OOOO;5624 XXXX;;;;;
1234 XOO_;1253 XXO_;1543 XX__;1623 XXXX;;;;;;
1234 XOOO;4213 XOOO;1263 XXO_;1423 XXXX;;;;;;
1234 OOO_;2613 XXX_;2643 XX__;2513 XXXX;;;;;;
1234 OOOO;2451 OOO_;2145 OOO_;4312 XXXX;;;;;;
6543 OOO_;1654 OOO_;1436 XXOO;4136 XOOO;3416 XXXX;;;;;
4215 OOO_;6154 OOO_;6421 XXOO;2461 XOOO;1426 XXXX;;;;;
2541 OOO_;1253 OOO_;3145 XXOO;4135 XOOO;3415 XXXX;;;;;
2316 OOO_;6234 OOO_;4613 XXOO;4163 XOOO;1643 XXXX;;;;;
